# This file is generated from nextgen via SQL:  select * from (select name, is_aggregate, case_insensitive, alias_to,create_query,origin, syntax, arguments,returned_value,categories from system.functions where not (origin in ('PythonUserDefined','JavaScriptUserDefined')) union all select name,0 as is_aggregate,0 as case_insensitive, '' as alias_to,'' as create_query,null as origin, '' as syntax, '' as arguments,'' as returned_value,'table' as categories from system.table_functions) order by name
name,is_aggregate,case_insensitive,alias_to,create_query,origin,syntax,arguments,returned_value,categories
DATE_FORMAT,0,1,format_datetime,,System,,,,
INET6_ATON,0,1,ipv6_string_to_num,,System,,,,
INET6_NTOA,0,1,ipv6_num_to_string,,System,,,,
INET_ATON,0,1,ipv4_string_to_num,,System,,,,
INET_NTOA,0,1,ipv4_num_to_string,,System,,,,
TO_UNIXTIME,0,1,parse_datetime,,System,,,,
__arg_max_retract,1,1,,,System,,,,
__arg_min_retract,1,1,,,System,,,,
__avg_retract,1,1,,,System,,,,
__bit_bool_mask_and,0,1,,,System,,,,
__bit_bool_mask_or,0,1,,,System,,,,
__bit_swap_last_two,0,1,,,System,,,,
__bit_wrapper_func,0,1,,,System,,,,
__count_retract,1,1,,,System,,,,
__get_scalar,0,1,,,System,,,,
__group_array_retract,1,1,,,System,,,,
__group_array_sorted_retract,1,1,,,System,,,,
__group_uniq_array_retract,1,1,,,System,,,,
__max_k_retract,1,1,,,System,,,,
__max_retract,1,1,,,System,,,,
__min_k_retract,1,1,,,System,,,,
__min_retract,1,1,,,System,,,,
__streaming_neighbor,0,1,,,System,,,,
__streaming_now,0,1,,,System,,,,
__streaming_now64,0,1,,,System,,,,
__streaming_row_number,0,1,,,System,,,,
__sum_kahan_retract,1,1,,,System,,,,
__sum_retract,1,1,,,System,,,,
__sum_with_overflow_retract,1,1,,,System,,,,
__to_time,0,1,,,System,,,,
__unique_exact_retract,1,1,,,System,,,,
__unique_retract,1,1,,,System,,,,
_cast,0,1,,,System,,,,
abs,0,1,,,System,,,,
accurate_cast,0,1,,,System,,,,
accurate_cast_or_default,0,1,,,System,,,,
accurate_cast_or_null,0,1,,,System,,,,
acos,0,1,,,System,,,,
acosh,0,1,,,System,,,,
add_days,0,1,,,System,,,,
add_hours,0,1,,,System,,,,
add_interval,0,1,,,System,,,,Dates and Times
add_microseconds,0,1,,,System,,,,
add_milliseconds,0,1,,,System,,,,
add_minutes,0,1,,,System,,,,
add_months,0,1,,,System,,,,
add_nanoseconds,0,1,,,System,,,,
add_quarters,0,1,,,System,,,,
add_seconds,0,1,,,System,,,,
add_tuple_of_intervals,0,1,,,System,,,,Dates and Times
add_weeks,0,1,,,System,,,,
add_years,0,1,,,System,,,,
address_to_line,0,1,,,System,,,,
address_to_line_with_inlines,0,1,,,System,,,,
address_to_symbol,0,1,,,System,,,,
aes_decrypt_mysql,0,1,,,System,,,,
aes_encrypt_mysql,0,1,,,System,,,,
age,0,1,,,System,,,,
agg_throw,1,1,,,System,,,,
alpha_tokens,0,1,,,System,,,,
analysis_of_variance,1,1,,,System,,,,
and,0,1,,,System,,,,
anova,1,1,analysis_of_variance,,System,,,,
any,1,1,,,System,,,,
any_heavy,1,1,,,System,,,,
any_last,1,1,,,System,,,,
append_trailing_char_if_absent,0,1,,,System,,,,
approx_top_k,1,1,,,System,,,,
approx_top_k_count,1,1,approx_top_k,,System,,,,
approx_top_k_sum,1,1,,,System,,,,
arg_max,1,1,,,System,,,,
arg_min,1,1,,,System,,,,
array_all,0,1,,,System,,,,
array_auc,0,1,,,System,,,,
array_avg,0,1,,,System,,,,
array_cast,0,1,,,System,,,,
array_compact,0,1,,,System,,,,
array_concat,0,1,,,System,,,,
array_count,0,1,,,System,,,,
array_cum_sum,0,1,,,System,,,,
array_cum_sum_non_negative,0,1,,,System,,,,
array_difference,0,1,,,System,,,,
array_distinct,0,1,,,System,,,,
array_element,0,1,,,System,,,,
array_enumerate,0,1,,,System,,,,
array_enumerate_dense,0,1,,,System,,,,
array_enumerate_dense_ranked,0,1,,,System,,,,
array_enumerate_uniq,0,1,,,System,,,,
array_enumerate_uniq_ranked,0,1,,,System,,,,
array_exists,0,1,,,System,,,,
array_fill,0,1,,,System,,,,
array_filter,0,1,,,System,,,,
array_first,0,1,,,System,,,,
array_first_index,0,1,,,System,,,,
array_first_or_null,0,1,,,System,,,,
array_flatten,0,1,,,System,,,,
array_fold,0,1,,,System,,,,
array_intersect,0,1,,,System,,,,
array_jaccard_index,0,1,,,System,,,,
array_join,0,1,,,System,,,,
array_last,0,1,,,System,,,,
array_last_index,0,1,,,System,,,,
array_last_or_null,0,1,,,System,,,,
array_map,0,1,,,System,,,,
array_max,0,1,,,System,,,,
array_min,0,1,,,System,,,,
array_partial_reverse_sort,0,1,,,System,,,,
array_partial_sort,0,1,,,System,,,,
array_pop_back,0,1,,,System,,,,
array_pop_front,0,1,,,System,,,,
array_product,0,1,,,System,,,,
array_push_back,0,1,,,System,,,,
array_push_front,0,1,,,System,,,,
array_reduce,0,1,,,System,,,,
array_reduce_in_ranges,0,1,,,System,,,,
array_resize,0,1,,,System,,,,
array_reverse,0,1,,,System,,,,
array_reverse_fill,0,1,,,System,,,,
array_reverse_sort,0,1,,,System,,,,
array_reverse_split,0,1,,,System,,,,
array_slice,0,1,,,System,,,,
array_sort,0,1,,,System,,,,
array_split,0,1,,,System,,,,
array_string_concat,0,1,,,System,,,,
array_sum,0,1,,,System,,,,
array_uniq,0,1,,,System,,,,
array_with_constant,0,1,,,System,,,,
array_zip,0,1,,,System,,,,
ascii,0,1,,,System,,,,String
asin,0,1,,,System,,,,Mathematical
asinh,0,1,,,System,,,,
assume_not_null,0,1,,,System,,,,
atan,0,1,,,System,,,,
atan2,0,1,,,System,,,,
atanh,0,1,,,System,,,,
avg,1,1,,,System,,,,
avg_weighted,1,1,,,System,,,,
bar,0,1,,,System,,,,
base58_decode,0,1,,,System,,,,
base58_encode,0,1,,,System,,,,
base64_decode,0,1,,,System,,,,
base64_encode,0,1,,,System,,,,
basename,0,1,,,System,,,,
bin,0,1,,,System,,,,
bit_and,0,1,,,System,,,,
bit_count,0,1,,,System,,,,
bit_hamming_distance,0,1,,,System,,,,
bit_not,0,1,,,System,,,,
bit_or,0,1,,,System,,,,
bit_positions_to_array,0,1,,,System,,,,
bit_rotate_left,0,1,,,System,,,,
bit_rotate_right,0,1,,,System,,,,
bit_shift_left,0,1,,,System,,,,
bit_shift_right,0,1,,,System,,,,
bit_slice,0,1,,,System,,,,
bit_test,0,1,,,System,,,,
bit_test_all,0,1,,,System,,,,
bit_test_any,0,1,,,System,,,,
bit_xor,0,1,,,System,,,,
bitmap_and,0,1,,,System,,,,
bitmap_and_cardinality,0,1,,,System,,,,
bitmap_andnot,0,1,,,System,,,,
bitmap_andnot_cardinality,0,1,,,System,,,,
bitmap_build,0,1,,,System,,,,
bitmap_cardinality,0,1,,,System,,,,
bitmap_contains,0,1,,,System,,,,
bitmap_has_all,0,1,,,System,,,,
bitmap_has_any,0,1,,,System,,,,
bitmap_max,0,1,,,System,,,,
bitmap_min,0,1,,,System,,,,
bitmap_or,0,1,,,System,,,,
bitmap_or_cardinality,0,1,,,System,,,,
bitmap_subset_in_range,0,1,,,System,,,,
bitmap_subset_limit,0,1,,,System,,,,
bitmap_to_array,0,1,,,System,,,,
bitmap_transform,0,1,,,System,,,,
bitmap_xor,0,1,,,System,,,,
bitmap_xor_cardinality,0,1,,,System,,,,
bitmask_to_array,0,1,,,System,,,,
bitmask_to_list,0,1,,,System,,,,
